Obstacle,Acceleration,Velocity,Orientation,GPS
,,,,"[3.615308672629392e-09, 1.2266234943067059e-08]"
[True],,,,
[True],,,,
[True],,,,
[True],,,,
,"[0.016542304, 0.018559223, 0.99819916]","[0.006034702, 0.0068488717, 0.034021378]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[True],,,,
[True],,,,
[True],,,,
[True],,,,
[True],,,,
[True],,,,
,"[0.016571458, 0.018584782, 0.9981972]","[0.008697897, 0.011161268, -0.013728142]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[True],,,,
[True],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.0165685, 0.018566018, 0.99819773]","[0.004052043, -0.012261659, -0.013284683]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
,,,,"[3.586720411519636e-09, 1.2304634405161833e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01656833, 0.018540008, 0.9981983]","[0.011190563, 0.00019147992, 0.0014867783]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016565634, 0.0185072, 0.9981991]","[0.0031813085, 0.0007119775, 0.010793686]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,,,,"[3.5581307076688798e-09, 1.2343030299463873e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01653942, 0.018498277, 0.9982006]","[0.005911827, -0.013368636, -0.0043210983]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016509596, 0.018495914, 0.99820215]","[0.008909911, -0.001398921, -0.025501251]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
